,Binario
0,-0.0
1,0.8112781244591328
2,0.8112781244591328
3,1.0
4,0.8112781244591328
5,1.0
6,1.0
7,0.8112781244591328
8,0.8112781244591328
9,1.0
10,1.0
11,0.8112781244591328
12,1.0
13,0.8112781244591328
14,0.8112781244591328
15,-0.0
16,0.7219280948873623
17,0.9709505944546686
18,0.9709505944546686
19,0.9709505944546686
20,0.9709505944546686
21,0.9709505944546686
22,0.9709505944546686
23,0.7219280948873623
24,0.9709505944546686
25,0.9709505944546686
26,0.9709505944546686
27,0.7219280948873623
28,0.9709505944546686
29,0.7219280948873623
30,0.7219280948873623
31,-0.0
32,0.6500224216483541
33,0.9182958340544896
34,0.9182958340544896
35,1.0
36,0.9182958340544896
37,1.0
38,1.0
39,0.9182958340544896
40,0.9182958340544896
41,1.0
42,1.0
43,0.9182958340544896
44,1.0
45,0.9182958340544896
46,0.9182958340544896
47,0.6500224216483541
48,0.9182958340544896
49,1.0
50,1.0
51,0.9182958340544896
52,1.0
53,0.9182958340544896
54,0.9182958340544896
55,0.6500224216483541
56,1.0
57,0.9182958340544896
58,0.9182958340544896
59,0.6500224216483541
60,0.9182958340544896
61,0.6500224216483541
62,0.6500224216483541
63,-0.0
64,0.5916727785823275
65,0.863120568566631
66,0.863120568566631
67,0.9852281360342516
68,0.863120568566631
69,0.9852281360342516
70,0.9852281360342516
71,0.9852281360342516
72,0.863120568566631
73,0.9852281360342516
74,0.9852281360342516
75,0.9852281360342516
76,0.9852281360342516
77,0.9852281360342516
78,0.9852281360342516
79,0.863120568566631
80,0.863120568566631
81,0.9852281360342516
82,0.9852281360342516
83,0.9852281360342516
84,0.9852281360342516
85,0.9852281360342516
86,0.9852281360342516
87,0.863120568566631
88,0.9852281360342516
89,0.9852281360342516
90,0.9852281360342516
91,0.863120568566631
92,0.9852281360342516
93,0.863120568566631
94,0.863120568566631
95,0.5916727785823275
96,0.863120568566631
97,0.9852281360342516
98,0.9852281360342516
99,0.9852281360342516
100,0.9852281360342516
101,0.9852281360342516
102,0.9852281360342516
103,0.863120568566631
104,0.9852281360342516
105,0.9852281360342516
106,0.9852281360342516
107,0.863120568566631
108,0.9852281360342516
109,0.863120568566631
110,0.863120568566631
111,0.5916727785823275
112,0.9852281360342516
113,0.9852281360342516
114,0.9852281360342516
115,0.863120568566631
116,0.9852281360342516
117,0.863120568566631
118,0.863120568566631
119,0.5916727785823275
120,0.9852281360342516
121,0.863120568566631
122,0.863120568566631
123,0.5916727785823275
124,0.863120568566631
125,0.5916727785823275
126,0.5916727785823275
127,-0.0
128,0.5435644431995964
129,0.8112781244591328
130,0.8112781244591328
131,0.954434002924965
132,0.8112781244591328
133,0.954434002924965
134,0.954434002924965
135,1.0
136,0.8112781244591328
137,0.954434002924965
138,0.954434002924965
139,1.0
140,0.954434002924965
141,1.0
142,1.0
143,0.954434002924965
144,0.8112781244591328
145,0.954434002924965
146,0.954434002924965
147,1.0
148,0.954434002924965
149,1.0
150,1.0
151,0.954434002924965
152,0.954434002924965
153,1.0
154,1.0
155,0.954434002924965
156,1.0
157,0.954434002924965
158,0.954434002924965
159,0.8112781244591328
160,0.8112781244591328
161,0.954434002924965
162,0.954434002924965
163,1.0
164,0.954434002924965
165,1.0
166,1.0
167,0.954434002924965
168,0.954434002924965
169,1.0
170,1.0
171,0.954434002924965
172,1.0
173,0.954434002924965
174,0.954434002924965
175,0.8112781244591328
176,0.954434002924965
177,1.0
178,1.0
179,0.954434002924965
180,1.0
181,0.954434002924965
182,0.954434002924965
183,0.8112781244591328
184,1.0
185,0.954434002924965
186,0.954434002924965
187,0.8112781244591328
188,0.954434002924965
189,0.8112781244591328
190,0.8112781244591328
191,0.5435644431995964
192,0.8112781244591328
193,0.954434002924965
194,0.954434002924965
195,1.0
196,0.954434002924965
197,1.0
198,1.0
199,0.954434002924965
200,0.954434002924965
201,1.0
202,1.0
203,0.954434002924965
204,1.0
205,0.954434002924965
206,0.954434002924965
207,0.8112781244591328
208,0.954434002924965
209,1.0
210,1.0
211,0.954434002924965
212,1.0
213,0.954434002924965
214,0.954434002924965
215,0.8112781244591328
216,1.0
217,0.954434002924965
218,0.954434002924965
219,0.8112781244591328
220,0.954434002924965
221,0.8112781244591328
222,0.8112781244591328
223,0.5435644431995964
224,0.954434002924965
225,1.0
226,1.0
227,0.954434002924965
228,1.0
229,0.954434002924965
230,0.954434002924965
231,0.8112781244591328
232,1.0
233,0.954434002924965
234,0.954434002924965
235,0.8112781244591328
236,0.954434002924965
237,0.8112781244591328
238,0.8112781244591328
239,0.5435644431995964
240,1.0
241,0.954434002924965
242,0.954434002924965
243,0.8112781244591328
244,0.954434002924965
245,0.8112781244591328
246,0.8112781244591328
247,0.5435644431995964
248,0.954434002924965
249,0.8112781244591328
250,0.8112781244591328
251,0.5435644431995964
252,0.8112781244591328
253,0.5435644431995964
254,0.5435644431995964
255,-0.0
256,0.5032583347756457
257,0.7642045065086203
258,0.7642045065086203
259,0.9182958340544896
260,0.7642045065086203
261,0.9182958340544896
262,0.9182958340544896
263,0.9910760598382222
264,0.7642045065086203
265,0.9182958340544896
266,0.9182958340544896
267,0.9910760598382222
268,0.9182958340544896
269,0.9910760598382222
270,0.9910760598382222
271,0.9910760598382222
272,0.7642045065086203
273,0.9182958340544896
274,0.9182958340544896
275,0.9910760598382222
276,0.9182958340544896
277,0.9910760598382222
278,0.9910760598382222
279,0.9910760598382222
280,0.9182958340544896
281,0.9910760598382222
282,0.9910760598382222
283,0.9910760598382222
284,0.9910760598382222
285,0.9910760598382222
286,0.9910760598382222
287,0.9182958340544896
288,0.7642045065086203
289,0.9182958340544896
290,0.9182958340544896
291,0.9910760598382222
292,0.9182958340544896
293,0.9910760598382222
294,0.9910760598382222
295,0.9910760598382222
296,0.9182958340544896
297,0.9910760598382222
298,0.9910760598382222
299,0.9910760598382222
300,0.9910760598382222
301,0.9910760598382222
302,0.9910760598382222
303,0.9182958340544896
304,0.9182958340544896
305,0.9910760598382222
306,0.9910760598382222
307,0.9910760598382222
308,0.9910760598382222
309,0.9910760598382222
310,0.9910760598382222
311,0.9182958340544896
312,0.9910760598382222
313,0.9910760598382222
314,0.9910760598382222
315,0.9182958340544896
316,0.9910760598382222
317,0.9182958340544896
318,0.9182958340544896
319,0.7642045065086203
320,0.7642045065086203
321,0.9182958340544896
322,0.9182958340544896
323,0.9910760598382222
324,0.9182958340544896
325,0.9910760598382222
326,0.9910760598382222
327,0.9910760598382222
328,0.9182958340544896
329,0.9910760598382222
330,0.9910760598382222
331,0.9910760598382222
332,0.9910760598382222
333,0.9910760598382222
334,0.9910760598382222
335,0.9182958340544896
336,0.9182958340544896
337,0.9910760598382222
338,0.9910760598382222
339,0.9910760598382222
340,0.9910760598382222
341,0.9910760598382222
342,0.9910760598382222
343,0.9182958340544896
344,0.9910760598382222
345,0.9910760598382222
346,0.9910760598382222
347,0.9182958340544896
348,0.9910760598382222
349,0.9182958340544896
350,0.9182958340544896
351,0.7642045065086203
352,0.9182958340544896
353,0.9910760598382222
354,0.9910760598382222
355,0.9910760598382222
356,0.9910760598382222
357,0.9910760598382222
358,0.9910760598382222
359,0.9182958340544896
360,0.9910760598382222
361,0.9910760598382222
362,0.9910760598382222
363,0.9182958340544896
364,0.9910760598382222
365,0.9182958340544896
366,0.9182958340544896
367,0.7642045065086203
368,0.9910760598382222
369,0.9910760598382222
370,0.9910760598382222
371,0.9182958340544896
372,0.9910760598382222
373,0.9182958340544896
374,0.9182958340544896
375,0.7642045065086203
376,0.9910760598382222
377,0.9182958340544896
378,0.9182958340544896
379,0.7642045065086203
380,0.9182958340544896
381,0.7642045065086203
382,0.7642045065086203
383,0.5032583347756457
384,0.7642045065086203
385,0.9182958340544896
386,0.9182958340544896
387,0.9910760598382222
388,0.9182958340544896
389,0.9910760598382222
390,0.9910760598382222
391,0.9910760598382222
392,0.9182958340544896
393,0.9910760598382222
394,0.9910760598382222
395,0.9910760598382222
396,0.9910760598382222
397,0.9910760598382222
398,0.9910760598382222
399,0.9182958340544896
400,0.9182958340544896
401,0.9910760598382222
402,0.9910760598382222
403,0.9910760598382222
404,0.9910760598382222
405,0.9910760598382222
406,0.9910760598382222
407,0.9182958340544896
408,0.9910760598382222
409,0.9910760598382222
410,0.9910760598382222
411,0.9182958340544896
412,0.9910760598382222
413,0.9182958340544896
414,0.9182958340544896
415,0.7642045065086203
416,0.9182958340544896
417,0.9910760598382222
418,0.9910760598382222
419,0.9910760598382222
420,0.9910760598382222
421,0.9910760598382222
422,0.9910760598382222
423,0.9182958340544896
424,0.9910760598382222
425,0.9910760598382222
426,0.9910760598382222
427,0.9182958340544896
428,0.9910760598382222
429,0.9182958340544896
430,0.9182958340544896
431,0.7642045065086203
432,0.9910760598382222
433,0.9910760598382222
434,0.9910760598382222
435,0.9182958340544896
436,0.9910760598382222
437,0.9182958340544896
438,0.9182958340544896
439,0.7642045065086203
440,0.9910760598382222
441,0.9182958340544896
442,0.9182958340544896
443,0.7642045065086203
444,0.9182958340544896
445,0.7642045065086203
446,0.7642045065086203
447,0.5032583347756457
448,0.9182958340544896
449,0.9910760598382222
450,0.9910760598382222
451,0.9910760598382222
452,0.9910760598382222
453,0.9910760598382222
454,0.9910760598382222
455,0.9182958340544896
456,0.9910760598382222
457,0.9910760598382222
458,0.9910760598382222
459,0.9182958340544896
460,0.9910760598382222
461,0.9182958340544896
462,0.9182958340544896
463,0.7642045065086203
464,0.9910760598382222
465,0.9910760598382222
466,0.9910760598382222
467,0.9182958340544896
468,0.9910760598382222
469,0.9182958340544896
470,0.9182958340544896
471,0.7642045065086203
472,0.9910760598382222
473,0.9182958340544896
474,0.9182958340544896
475,0.7642045065086203
476,0.9182958340544896
477,0.7642045065086203
478,0.7642045065086203
479,0.5032583347756457
480,0.9910760598382222
481,0.9910760598382222
482,0.9910760598382222
483,0.9182958340544896
484,0.9910760598382222
485,0.9182958340544896
486,0.9182958340544896
487,0.7642045065086203
488,0.9910760598382222
489,0.9182958340544896
490,0.9182958340544896
491,0.7642045065086203
492,0.9182958340544896
493,0.7642045065086203
494,0.7642045065086203
495,0.5032583347756457
496,0.9910760598382222
497,0.9182958340544896
498,0.9182958340544896
499,0.7642045065086203
500,0.9182958340544896
501,0.7642045065086203
502,0.7642045065086203
503,0.5032583347756457
504,0.9182958340544896
505,0.7642045065086203
506,0.7642045065086203
